Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-11-21 16:23:10Z : PB = 602255360 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-21 16:23:10Z : PB = 602255360 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-21 16:23:10Z : PB = 605147136 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-21 16:23:10Z : PB = 605278208 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-21 16:23:10Z : PB = 605409280 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-21 16:23:10Z : PB = 605474816 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-21 16:23:10Z : PB = 605544448 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-21 16:23:10Z : PB = 601890816 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-21 16:23:10Z : PB = 601890816 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-21 16:23:10Z : PB = 601890816 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-21 16:23:10Z : PB = 605347840 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-21 16:23:10Z : PB = 605347840 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-21 16:23:10Z : PB = 605347840 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-21 16:23:10Z : PB = 605347840 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-21 16:23:10Z : PB = 605347840 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-21 16:23:10Z : PB = 605360128 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-21 16:23:10Z : PB = 605360128 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-21 16:23:10Z : PB = 605360128 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-21 16:23:10Z : PB = 608677888 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
